line_no,source_column,normalized_value,destination,synonym,proposed_value,confidence,status,note
6880,environment (local scale),saline sediment environment,Environment_Medium_SD,saline sediment environment (ENVO:01001050),sediment,high,approved,Added from 20260501_053203 audit; represented rows=67; environmental medium
7414,environment (local scale),saline sediment environment,Environment_Medium_SD,saline sediment environment,sediment,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: environmental medium
7102,environment (local scale),wastewater treatment plants in seville,Environment_Medium_SD,Wastewater treatment plants (WWTPs) in Seville,wastewater,high,approved,Added from 20260501_053203 audit; represented rows=2; environmental medium
7445,environment (local scale),wastewater treatment plants in seville,Environment_Medium_SD,wastewater treatment plants in seville,wastewater,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: environmental medium
7138,isolation site,sediment freshwater minnesota,Environment_Medium_SD,"Sediment, freshwater (freshwater sediments, artificial channels) Minnesota",sediment,high,approved,Added from 20260501_053203 audit; represented rows=2; environmental medium
7458,isolation site,sediment freshwater minnesota,Environment_Medium_SD,sediment freshwater minnesota,sediment,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: environmental medium
7078,isolation source,chicken blood,Sample_Type_SD,Chicken blood (Gallus gallus),blood,high,approved,Added from 20260501_053203 audit; represented rows=2; clinical material
7439,isolation source,chicken blood,Sample_Type_SD,chicken blood,blood,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: clinical material
6875,isolation source,stool sample from asymptomatic human participant,Sample_Type_SD,stool (fecal) sample from asymptomatic human participant,feces/stool,high,approved,Added from 20260501_053203 audit; represented rows=107; fecal material
7413,isolation source,stool sample from asymptomatic human participant,Sample_Type_SD,stool sample from asymptomatic human participant,feces/stool,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
7192,isolation source,stool sample from female patient with ehec symptoms,Sample_Type_SD,stool sample from female patient with EHEC symptoms (bloody diarrhea),feces/stool,high,approved,Added from 20260501_053203 audit; represented rows=1; fecal material
7488,isolation source,stool sample from female patient with ehec symptoms,Sample_Type_SD,stool sample from female patient with ehec symptoms,feces/stool,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
7191,isolation source,stool sample from male patient with ehec associated symptoms,Sample_Type_SD,stool sample from male patient with EHEC associated symptoms (bloody diarrhea),feces/stool,high,approved,Added from 20260501_053203 audit; represented rows=1; fecal material
7487,isolation source,stool sample from male patient with ehec associated symptoms,Sample_Type_SD,stool sample from male patient with ehec associated symptoms,feces/stool,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
6963,isolation source,stool sample from patient with hemolytic uremic syndrome,Sample_Type_SD,stool sample from patient with hemolytic uremic syndrome (HUS),feces/stool,high,approved,Added from 20260501_053203 audit; represented rows=6; fecal material
7424,isolation source,stool sample from patient with hemolytic uremic syndrome,Sample_Type_SD,stool sample from patient with hemolytic uremic syndrome,feces/stool,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
6974,isolation source,stool sample from septic human participant,Sample_Type_SD,stool (fecal) sample from septic human participant,feces/stool,high,approved,Added from 20260501_053203 audit; represented rows=5; fecal material
7425,isolation source,stool sample from septic human participant,Sample_Type_SD,stool sample from septic human participant,feces/stool,high,approved,Batch 5 applied high-confidence source/sample/environment audit suggestion: fecal material
