line_no,reason,synonym,normalized_value,destination,proposed_value,broad_value,status,note
1429,auto rule maps to very broad generic value,ENVO:water,envo water,Environment_Medium_SD,water,environmental material,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Environment (Local Scale); rows=6; water pattern
1682,auto rule maps to very broad generic value,swab,swab,Sample_Type_SD,swab,clinical/host-associated material,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Sample Type; rows=22; generic swab
1909,auto rule maps to very broad generic value,Cold water disease,cold water disease,Environment_Medium_SD,metadata descriptor/non-source,metadata descriptor / non-source,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Host Disease; rows=13; water pattern; demoted non-source disease/exposure water phrase 2026-04-30; targeted validation correction 2026-04-30
2871,auto rule maps to very broad generic value,SWAB_OTHER,swab other,Sample_Type_SD,swab,clinical/host-associated material,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=79; generic swab
3917,auto rule maps to very broad generic value,Drought-Tolerant Rhizobacterial Consortia Enhance Grapevine Growth and tolerance to Water Deficit,drought tolerant rhizobacterial consortia enhance grapevine growth and tolerance to water deficit,Environment_Medium_SD,metadata descriptor/non-source,metadata descriptor / non-source,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=BioSample REF Biomaterial; rows=5; water pattern; demoted non-source disease/exposure water phrase 2026-04-30; targeted validation correction 2026-04-30
3950,auto rule maps to very broad generic value,swab sample,swab sample,Sample_Type_SD,swab,clinical/host-associated material,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Sample Type; rows=3; generic swab
4003,auto rule maps to very broad generic value,swab culture,swab culture,Sample_Type_SD,swab,clinical/host-associated material,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Sample Type; rows=5; generic swab
4040,auto rule maps to very broad generic value,Copan E-swab,copan e swab,Sample_Type_SD,swab,clinical/host-associated material,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Sample Type; rows=3; generic swab; kept generic device swab after targeted review 2026-04-30
4238,auto rule maps to very broad generic value,swab (cavity),swab cavity,Sample_Type_SD,swab,clinical/host-associated material,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=100; generic swab
4273,auto rule maps to very broad generic value,Flexi swab,flexi swab,Sample_Type_SD,swab,clinical/host-associated material,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=75; generic swab
4336,auto rule maps to very broad generic value,swab from newborn,swab from newborn,Sample_Type_SD,swab,clinical/host-associated material,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=48; generic swab
4343,auto rule maps to very broad generic value,"acquired via water exposure, lead to skin infection",acquired via water exposure lead to skin infection,Environment_Medium_SD,metadata descriptor/non-source,metadata descriptor / non-source,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=47; water pattern; demoted non-source disease/exposure water phrase 2026-04-30; targeted validation correction 2026-04-30
4700,auto rule maps to very broad generic value,swab (unspecified),swab unspecified,Sample_Type_SD,swab,clinical/host-associated material,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=16; generic swab
4747,auto rule maps to very broad generic value,routine swab,routine swab,Sample_Type_SD,swab,clinical/host-associated material,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=15; generic swab
4751,auto rule maps to very broad generic value,Swab (Site:),swab site,Sample_Type_SD,swab,clinical/host-associated material,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=14; generic swab
5031,auto rule maps to very broad generic value,"acquired via water exposure, lead to gastrointestinal illness",acquired via water exposure lead to gastrointestinal illness,Environment_Medium_SD,metadata descriptor/non-source,metadata descriptor / non-source,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=10; water pattern; demoted non-source disease/exposure water phrase 2026-04-30; targeted validation correction 2026-04-30
5720,auto rule maps to very broad generic value,swab from adult,swab from adult,Sample_Type_SD,swab,clinical/host-associated material,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=5; generic swab
5742,auto rule maps to very broad generic value,"acquired via water ingestion, lead to skin infection",acquired via water ingestion lead to skin infection,Environment_Medium_SD,metadata descriptor/non-source,metadata descriptor / non-source,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=5; water pattern; demoted non-source disease/exposure water phrase 2026-04-30; targeted validation correction 2026-04-30
5851,auto rule maps to very broad generic value,new culture swab,new culture swab,Sample_Type_SD,swab,clinical/host-associated material,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Isolation Source; rows=4; generic swab
6599,auto rule maps to very broad generic value,MIGS/MIMS/MIMARKS.water,migs mims mimarks water,Environment_Medium_SD,water,environmental material,approved,auto conservative source/sample/environment/site review 2026-04-30; source_column=Sample Type; rows=4; water pattern
