count,environment_medium_sd_broad
251124,feces/stool
65207,water
37120,environmental material
35149,soil
15298,sediment
14139,wastewater/sewage
5405,food/dairy
5352,marine
4180,plant-associated material
3893,agricultural fecal material
2235,biofilm
2182,culture medium
1781,laboratory environment
954,healthcare-associated environment
794,biological/clinical product
787,leachate
682,sea ice
616,biological waste material
487,surface sample
416,environmental/geologic material
366,dust
342,compost
179,cryoconite
84,metadata descriptor / non-source
65,clinical fluid/material
2,mine tailings
1,land crag
1,microplastic/plastic
